SimulationTime neuron_model_spike neuron_model_stateCURRENT_voltage_v neuron_model_stateCURRENT_time_lastSpikeTime neuron_model_stateCURRENT_conductance_SynapseModel_g neuron_model_stateCURRENT_current_SynapseModel_i 
5.908012e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
5.958080e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.008148e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.058216e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.108284e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.158352e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.208420e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.258488e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.308556e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.358624e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.408691e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.458759e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.508827e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.558895e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.608963e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.659031e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.709099e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.759167e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.809235e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.859303e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.909370e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
6.959438e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.009506e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.059574e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.109642e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.159710e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.209778e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.259846e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.309914e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.359982e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.410049e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.460117e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.510185e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.560253e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.610321e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.660389e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.710457e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.760525e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.810593e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.860661e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.910728e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
7.960796e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.010864e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.060932e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.111000e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.161068e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.211136e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.261204e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.311272e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.361340e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.411407e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.461475e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.511543e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.561611e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.611679e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.661747e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.711815e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.761883e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.811951e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.862019e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.912086e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
8.962154e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.012222e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.062290e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.112358e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.162426e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.212494e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.262562e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.312630e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.362698e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.412766e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.462833e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.512901e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.562969e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.613037e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.663105e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.713173e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.763241e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.813309e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.863377e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.913445e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
9.963512e-03 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.001358e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.006365e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.011372e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.016378e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.021385e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.026392e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.031399e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.036406e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.041412e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.046419e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.051426e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.056433e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.061440e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.066446e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.071453e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.076460e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.081467e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.086473e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.091480e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.096487e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.101494e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.106501e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.111507e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.116514e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.121521e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.126528e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.131535e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.136541e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.141548e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.146555e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.151562e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.156569e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.161575e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.166582e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.171589e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.176596e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.181602e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.186609e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.191616e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.196623e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.201630e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.206636e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.211643e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.216650e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.221657e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.226664e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.231670e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.236677e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.241684e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.246691e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.251698e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.256704e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.261711e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.266718e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.271725e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.276731e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.281738e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.286745e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.291752e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.296759e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.301765e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.306772e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.311779e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.316786e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.321793e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.326799e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.331806e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.336813e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.341820e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.346827e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.351833e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.356840e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.361847e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.366854e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.371861e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.376867e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.381874e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.386881e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.391888e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.396894e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.401901e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.406908e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.411915e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.416922e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.421928e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.426935e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.431942e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.436949e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.441956e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.446962e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.451969e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.456976e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.461983e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.466990e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.471996e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.477003e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.482010e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.487017e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.492023e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.497030e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.502037e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.507044e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.512051e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.517057e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.522064e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.527071e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.532078e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.537085e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.542091e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.547098e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.552105e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.557112e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.562119e-02 0 -6.999993e-02 0.000000e+00 0.000000e+00 0.000000e+00 
